変電所No,変電所名,inkscape:label,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御が必要となりうる設備(当該設備),平常時出力制御が必要となりうる設備(上位系設備),備考
基幹 275kV 001,新福島,,500,275,3,2850,2280,熱容量,1,0,可,1,-,-,-,※２※６　上位系（送52）による制約
基幹 275kV 001,新福島,,500,66,1,-,-,-,1,1,-,-,-,-,-,◇
基幹 275kV 002,新茂木,shinmotegi,500,275,3,3701,2815,熱容量,0,0,可,0,有り,対象,-,※２※６
基幹 275kV 003,新栃木,shintochigi,500,275,1,950,950,熱容量,0,0,不可 ♯２,-,有り,対象,-,※１　2023/1新栃木募プロ対策工事完了後に連系可能
基幹 275kV 003,新栃木,shintochigi,500,154,3,2122,2305,熱容量,0,0,可,0,有り,対象,-,運用容量は275/154kVバンクとの合算
基幹 275kV 003,新栃木,shintochigi,275,154,2,712,2305,熱容量,0,0,可,0,有り,対象,-,運用容量は500/154kVバンクとの合算
基幹 275kV 004,新筑波,shintsukuba,500,154,4,2825,2538,熱容量,0,0,可,0,有り,対象,-,※３※６　上位系（送52）による制約
基幹 275kV 005,新古河,shinkoga,500,275,4,5700,5130,熱容量,5130,0,可,570,-,-,-,※３※６　上位系（送52）による制約
基幹 275kV 006,東群馬,higashigunma,500,275,1,950,950,熱容量,0,0,不可 ♯２,-,有り,対象,-,※１
基幹 275kV 007,新新田,shinnitta,500,275,2,1900,1140,熱容量,900,900,可,760,-,-,-,※６
基幹 275kV 008,新岡部,shinokabe,500,275,2,2850,1710,熱容量,1200,1200,可,1140,-,-,-,※６
基幹 275kV 008,新岡部,shinokabe,500,154,3,2138,1682,熱容量,0,0,可,0,有り,対象,-,※２※６
基幹 275kV 009,新榛名,shinharuna,500,275,3,1910,1528,熱容量,0,0,可,160,-,-,-,※２※６
基幹 275kV 010,新信濃,,500,275,3,-,-,-,0,0,-,-,有り,対象,-,◇　上位系（送75）による制約
基幹 275kV 011,新木更津,shinkisarazu,500,275,2,2850,1710,熱容量,0,0,可,0,有り,対象,送47,※６　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 012,房総,boso,500,275,4,4275,3420,熱容量,0,0,可,0,有り,対象,送47,※２※６（1Bのみ別系統であり運用容量は950MW）　上位系（送47）による制約
基幹 275kV 013,新佐原,shinsahara,500,275,3,3246,2262,熱容量,0,0,可,190,有り,-,送46,※２※６　抑制が必要となる設備には送47含む　上位系（送46）による制約
基幹 275kV 014,新京葉,shinkeiyo,500,275,3,4275,3420,熱容量,2600,0,可,855,有り,-,送47,※２※６　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 015,新野田,shinnoda,500,275,4,5700,5130,熱容量,5130,0,可,570,有り,-,送47,※３※６　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 016,東山梨,higashiyamanashi,500,154,2,1423,855,熱容量,0,0,可,450,-,-,-,※６
基幹 275kV 017,新富士,shinfuji,275,154,5,1533,1415,熱容量,110,10,可,118,-,-,-,※６
基幹 275kV 017,新富士,shinfuji,500,154,2,1396,855,熱容量,180,180,可,541,-,-,-,※６
基幹 275kV 017,新富士,shinfuji,500,275,2,2850,1710,熱容量,10,10,可,1140,-,-,-,※６
基幹 275kV 018,新秦野,shinhatano,500,275,2,1853,1710,熱容量,0,0,可,0,有り,対象,-,※２※６
基幹 275kV 018,新秦野,shinhatano,500,154,3,2131,1710,熱容量,1710,1710,可,421,-,-,-,※６
基幹 275kV 019,新多摩,shintama,500,275,4,3800,3420,熱容量,800,800,可,380,-,-,-,※３※６
基幹 275kV 020,新坂戸,shinsakado,500,275,3,4275,3420,熱容量,3420,3420,可,855,-,-,-,※３※６
基幹 275kV 021,新所沢,shintokorozawa,500,275,5,5225,4560,熱容量,4560,4560,可,665,-,-,-,※４※６
基幹 275kV 022,新飯能,shinhanno,500,275,2,2850,1710,熱容量,1710,1710,可,1140,-,-,-,※６
基幹 275kV 023,新豊洲,shintoyosu,500,275,2,2850,1710,熱容量,1100,0,可,1140,有り,-,送47,※６　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 024,信濃川,,275,154,2,380,228,熱容量,80,0,可,70,有り,-,送55,上位系（送55）による制約
基幹 500kV 901,南いわき,minamiiwaki,500,500,,,,,,,,,,,,
基幹 500kV 902,新いわき,shiniwaki,500,500,,,,,,,,,,,,
基幹 500kV 903,新今市,shinimaichi,500,500,,,,,,,,,,,,
基幹 500kV 904,西群馬,nishigunma,500,500,,,,,,,,,,,,
基幹 500kV 905,新秩父,shinchichibu,500,500,,,,,,,,,,,,
